logz logzerr logvol nlive logl logwt insert_order
-1.734106222103258008e+13 1.160695286458556396e+12 -2.999999999999999889e-01 3.000000000000000000e+02 -1.720237872472761719e+13 -1.720237872473362305e+13 5.600000000000000533e-01
-1.720237872473362305e+13 8.860273670958934326e+11 -3.033333333333333437e-01 3.000000000000000000e+02 -1.601564981418339453e+13 -1.601564981418940234e+13 1.446666666666666767e+00
-1.601564981418940234e+13 5.348856821433908691e+11 -3.066666666666666985e-01 3.000000000000000000e+02 -1.539393605045000000e+13 -1.539393605045601172e+13 4.266666666666666941e-01
-1.539393605045601172e+13 5.248370637833807373e+11 -3.100000000000000533e-01 3.000000000000000000e+02 -1.328264694039675977e+13 -1.328264694040277539e+13 2.666666666666666630e-01
-1.328264694040277539e+13 1.250153756861375244e+12 -3.133333333333334081e-01 3.000000000000000000e+02 -1.328144436635758594e+13 -1.328144436636360547e+13 6.866666666666666474e-01
-1.328144436636360547e+13 1.083598481760938599e+12 -3.166666666666667629e-01 3.000000000000000000e+02 -1.309960426352592188e+13 -1.309960426353194336e+13 6.266666666666667052e-01
-1.309960426353194336e+13 8.988633493096630859e+10 -3.200000000000001177e-01 3.000000000000000000e+02 -1.284933849583112500e+13 -1.284933849583715039e+13 1.173333333333333339e+00
-1.284933849583715039e+13 1.694826003900745544e+11 -3.233333333333334725e-01 3.000000000000000000e+02 -1.243017665232098047e+13 -1.243017665232700977e+13 1.899999999999999911e+00
-1.243017665232700977e+13 3.452256975878695679e+11 -3.266666666666668273e-01 3.000000000000000000e+02 -1.194313381735545117e+13 -1.194313381736148242e+13 5.999999999999999778e-02
-1.194313381736148242e+13 4.502181375473192749e+11 -3.300000000000001821e-01 3.000000000000000000e+02 -1.109990265968736328e+13 -1.109990265969339844e+13 1.566666666666666652e+00
-1.109990265969339844e+13 7.169743701899787598e+11 -3.333333333333335369e-01 3.000000000000000000e+02 -9.976888482520564453e+12 -9.976888482526603516e+12 1.939999999999999947e+00
-9.976888482526603516e+12 9.270709881946037598e+11 -3.366666666666668917e-01 3.000000000000000000e+02 -8.992642628346751953e+12 -8.992642628352794922e+12 1.053333333333333233e+00
-8.992642628352794922e+12 1.067456532896984497e+12 -3.400000000000002465e-01 3.000000000000000000e+02 -8.339502306395729492e+12 -8.339502306401775391e+12 5.333333333333333676e-02
-8.339502306401775391e+12 2.828180555225349121e+11 -3.433333333333336013e-01 3.000000000000000000e+02 -7.960807129014855469e+12 -7.960807129020904297e+12 7.800000000000000266e-01
-7.960807129020904297e+12 3.822074197038403931e+11 -3.466666666666669561e-01 3.000000000000000000e+02 -7.447670893658312500e+12 -7.447670893664364258e+12 1.913333333333333330e+00
-7.447670893664364258e+12 3.017604293387219238e+11 -3.500000000000003109e-01 3.000000000000000000e+02 -7.335918100389552734e+12 -7.335918100395608398e+12 1.066666666666666652e+00
-7.335918100395608398e+12 3.249624139378715210e+11 -3.533333333333336657e-01 3.000000000000000000e+02 -6.433582276407054688e+12 -6.433582276413113281e+12 1.739999999999999991e+00
-6.433582276413113281e+12 4.528561010816951294e+11 -3.566666666666670205e-01 3.000000000000000000e+02 -5.775556556493552734e+12 -5.775556556499615234e+12 1.479999999999999982e+00
-5.775556556499615234e+12 7.084064919111154785e+11 -3.600000000000003753e-01 3.000000000000000000e+02 -5.412570229384841797e+12 -5.412570229390907227e+12 1.679999999999999938e+00
-5.412570229390907227e+12 5.158731483411320190e+11 -3.633333333333337301e-01 3.000000000000000000e+02 -5.079920324002887695e+12 -5.079920324008956055e+12 1.166666666666666741e+00
-5.079920324008956055e+12 2.770488649532960815e+11 -3.666666666666670849e-01 3.000000000000000000e+02 -5.066413101594271484e+12 -5.066413101600343750e+12 1.753333333333333410e+00
-5.066413101600343750e+12 2.680718484519594421e+11 -3.700000000000004396e-01 3.000000000000000000e+02 -4.108453420038939453e+12 -4.108453420045015137e+12 3.933333333333333126e-01
-4.108453420045015137e+12 6.779084698028188477e+11 -3.733333333333337944e-01 3.000000000000000000e+02 -3.753734480539790039e+12 -3.753734480545868652e+12 1.253333333333333410e+00
-3.753734480545868652e+12 7.248549588408604736e+11 -3.766666666666671492e-01 3.000000000000000000e+02 -3.367815347718412109e+12 -3.367815347724494141e+12 1.186666666666666758e+00
-3.367815347724494141e+12 6.612695358545281982e+11 -3.800000000000005040e-01 3.000000000000000000e+02 -3.281008458981876465e+12 -3.281008458987961914e+12 1.093333333333333268e+00
-3.281008458987961914e+12 2.266101925251862793e+11 -3.833333333333338588e-01 3.000000000000000000e+02 -3.158697402787029297e+12 -3.158697402793118164e+12 1.719999999999999973e+00
-3.158697402793118164e+12 7.241536214179425049e+10 -3.866666666666672136e-01 3.000000000000000000e+02 -3.112613956667645508e+12 -3.112613956673737793e+12 1.213333333333333375e+00
-3.112613956673737793e+12 5.956607400364050293e+10 -3.900000000000005684e-01 3.000000000000000000e+02 -2.935622929551014160e+12 -2.935622929557109375e+12 1.866666666666666696e+00
-2.935622929557109375e+12 1.019364681067207336e+11 -3.933333333333339232e-01 3.000000000000000000e+02 -2.520087462455143555e+12 -2.520087462461242188e+12 5.000000000000000000e-01
-2.520087462461242188e+12 2.290672707919630127e+11 -3.966666666666672780e-01 3.000000000000000000e+02 -2.295233006690180664e+12 -2.295233006696282715e+12 8.066666666666666430e-01
-2.295233006696282715e+12 2.702773841642271423e+11 -4.000000000000006328e-01 3.000000000000000000e+02 -2.230160094071879883e+12 -2.230160094077985352e+12 8.000000000000000444e-01
-2.230160094077985352e+12 2.627127356450679932e+11 -4.033333333333339876e-01 3.000000000000000000e+02 -2.029901755825571289e+12 -2.029901755831680176e+12 1.300000000000000044e+00
-2.029901755831680176e+12 3.149780608037609863e+11 -4.066666666666673424e-01 3.000000000000000000e+02 -2.018242327131854492e+12 -2.018242327137966553e+12 1.466666666666666674e-01
-2.018242327137966553e+12 5.814469645751564026e+10 -4.100000000000006972e-01 3.000000000000000000e+02 -1.940315507617879639e+12 -1.940315507623995117e+12 1.346666666666666679e+00
-1.940315507623995117e+12 3.553262907433689880e+10 -4.133333333333340520e-01 3.000000000000000000e+02 -1.882726164553270020e+12 -1.882726164559388916e+12 2.600000000000000089e-01
-1.882726164559388916e+12 2.839192901854103851e+10 -4.166666666666674068e-01 3.000000000000000000e+02 -1.685054126775681152e+12 -1.685054126781803223e+12 3.800000000000000044e-01
-1.685054126781803223e+12 1.026698488723560944e+11 -4.200000000000007616e-01 3.000000000000000000e+02 -1.629418944846312500e+12 -1.629418944852437988e+12 2.200000000000000011e-01
-1.629418944852437988e+12 1.131058722062917480e+11 -4.233333333333341164e-01 3.000000000000000000e+02 -1.506941355398421387e+12 -1.506941355404550049e+12 1.300000000000000044e+00
