16:57:57 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run5, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
17:01:38 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run6, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
17:01:38 [ultranest] [INFO] Sampling 300 live points from prior ...
17:01:38 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:01:38 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
17:01:38 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(300.0)), (np.float64(inf), np.float64(300.0))]
17:01:42 [ultranest] [DEBUG] iteration=1943, ncalls=3911, regioncalls=51328, ndraw=128, logz=-26562.81, remainder_fraction=98.4064%, Lmin=-26555.36, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1950, ncalls=3927, regioncalls=52224, ndraw=128, logz=-26562.74, remainder_fraction=98.2919%, Lmin=-26555.28, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1980, ncalls=4003, regioncalls=54528, ndraw=128, logz=-26562.48, remainder_fraction=97.7232%, Lmin=-26554.88, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=2010, ncalls=4084, regioncalls=56960, ndraw=128, logz=-26562.23, remainder_fraction=97.0712%, Lmin=-26554.64, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=2040, ncalls=4171, regioncalls=57472, ndraw=128, logz=-26562.00, remainder_fraction=96.2873%, Lmin=-26554.44, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=2070, ncalls=4285, regioncalls=57984, ndraw=128, logz=-26561.79, remainder_fraction=95.3640%, Lmin=-26554.16, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=2077, ncalls=4309, regioncalls=58112, ndraw=128, logz=-26561.74, remainder_fraction=95.2616%, Lmin=-26554.10, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=2100, ncalls=4403, regioncalls=58624, ndraw=128, logz=-26561.59, remainder_fraction=94.5054%, Lmin=-26553.93, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=2130, ncalls=4477, regioncalls=59008, ndraw=128, logz=-26561.41, remainder_fraction=93.4807%, Lmin=-26553.71, Lmax=-26548.92
17:01:43 [ultranest] [DEBUG] iteration=2144, ncalls=4533, regioncalls=59264, ndraw=128, logz=-26561.33, remainder_fraction=92.8273%, Lmin=-26553.63, Lmax=-26548.92
17:01:43 [ultranest] [DEBUG] iteration=2160, ncalls=4547, regioncalls=59776, ndraw=128, logz=-26561.23, remainder_fraction=91.9228%, Lmin=-26553.51, Lmax=-26548.92
17:01:43 [ultranest] [DEBUG] iteration=2190, ncalls=4639, regioncalls=61824, ndraw=128, logz=-26561.07, remainder_fraction=90.7732%, Lmin=-26553.36, Lmax=-26548.92
17:01:43 [ultranest] [DEBUG] iteration=2211, ncalls=4702, regioncalls=63232, ndraw=128, logz=-26560.97, remainder_fraction=90.1966%, Lmin=-26553.29, Lmax=-26548.89
17:01:43 [ultranest] [DEBUG] iteration=2220, ncalls=4733, regioncalls=64000, ndraw=128, logz=-26560.93, remainder_fraction=89.6134%, Lmin=-26553.26, Lmax=-26548.89
17:01:43 [ultranest] [DEBUG] iteration=2250, ncalls=4823, regioncalls=65664, ndraw=128, logz=-26560.81, remainder_fraction=87.9971%, Lmin=-26553.09, Lmax=-26548.89
17:01:43 [ultranest] [DEBUG] iteration=2280, ncalls=4917, regioncalls=68736, ndraw=128, logz=-26560.69, remainder_fraction=86.4714%, Lmin=-26552.93, Lmax=-26548.72
17:01:43 [ultranest] [DEBUG] iteration=2310, ncalls=5015, regioncalls=71424, ndraw=128, logz=-26560.58, remainder_fraction=84.5174%, Lmin=-26552.82, Lmax=-26548.72
17:01:43 [ultranest] [DEBUG] iteration=2340, ncalls=5120, regioncalls=74368, ndraw=128, logz=-26560.47, remainder_fraction=82.6385%, Lmin=-26552.63, Lmax=-26548.72
17:01:43 [ultranest] [DEBUG] iteration=2345, ncalls=5136, regioncalls=74880, ndraw=128, logz=-26560.45, remainder_fraction=82.3940%, Lmin=-26552.61, Lmax=-26548.72
17:01:43 [ultranest] [DEBUG] iteration=2370, ncalls=5202, regioncalls=76160, ndraw=128, logz=-26560.37, remainder_fraction=80.4967%, Lmin=-26552.49, Lmax=-26548.72
17:01:43 [ultranest] [DEBUG] iteration=2400, ncalls=5288, regioncalls=78080, ndraw=128, logz=-26560.28, remainder_fraction=79.2001%, Lmin=-26552.38, Lmax=-26548.38
17:01:43 [ultranest] [DEBUG] iteration=2430, ncalls=5393, regioncalls=80512, ndraw=128, logz=-26560.19, remainder_fraction=77.3046%, Lmin=-26552.26, Lmax=-26548.38
17:01:43 [ultranest] [DEBUG] iteration=2460, ncalls=5482, regioncalls=82688, ndraw=128, logz=-26560.11, remainder_fraction=75.4998%, Lmin=-26552.14, Lmax=-26548.38
17:01:43 [ultranest] [DEBUG] iteration=2490, ncalls=5575, regioncalls=85376, ndraw=128, logz=-26560.03, remainder_fraction=72.8589%, Lmin=-26552.01, Lmax=-26548.38
17:01:43 [ultranest] [DEBUG] iteration=2520, ncalls=5711, regioncalls=89344, ndraw=128, logz=-26559.96, remainder_fraction=70.0499%, Lmin=-26551.88, Lmax=-26548.38
17:01:43 [ultranest] [DEBUG] iteration=2546, ncalls=5820, regioncalls=92160, ndraw=128, logz=-26559.90, remainder_fraction=68.4377%, Lmin=-26551.79, Lmax=-26548.38
17:01:43 [ultranest] [DEBUG] iteration=2550, ncalls=5834, regioncalls=92672, ndraw=128, logz=-26559.89, remainder_fraction=68.2808%, Lmin=-26551.78, Lmax=-26548.38
17:01:44 [ultranest] [DEBUG] iteration=2580, ncalls=5919, regioncalls=95872, ndraw=128, logz=-26559.82, remainder_fraction=66.0746%, Lmin=-26551.65, Lmax=-26548.38
17:01:44 [ultranest] [DEBUG] iteration=2610, ncalls=6023, regioncalls=97792, ndraw=128, logz=-26559.76, remainder_fraction=63.7127%, Lmin=-26551.53, Lmax=-26548.38
17:01:44 [ultranest] [DEBUG] iteration=2640, ncalls=6128, regioncalls=98688, ndraw=128, logz=-26559.70, remainder_fraction=61.1829%, Lmin=-26551.45, Lmax=-26548.38
17:01:44 [ultranest] [DEBUG] iteration=2670, ncalls=6219, regioncalls=99456, ndraw=128, logz=-26559.64, remainder_fraction=58.7080%, Lmin=-26551.36, Lmax=-26548.38
17:01:44 [ultranest] [DEBUG] iteration=2680, ncalls=6250, regioncalls=99712, ndraw=128, logz=-26559.62, remainder_fraction=57.9997%, Lmin=-26551.31, Lmax=-26548.38
