weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -5.003356902139136719e+12 6.125102951222608283e+00 1.238027602945857097e+01 9.279678878713791823e-01 4.868207058417507227e+01 1.075422650764608634e-01
0.000000000000000000e+00 -4.819700383216314453e+12 3.467245240779585913e+01 3.844362727499071752e+01 1.277765165425083671e+00 3.433453924747065855e+01 1.095564748454218862e-01
0.000000000000000000e+00 -4.357667443544673340e+12 9.273635287786010650e+00 1.517753557376092033e+01 2.154089006527367678e-01 1.297298659698796364e+01 1.163667450886054222e-01
0.000000000000000000e+00 -4.352391351117437012e+12 1.624577721597800206e+01 3.369464685504225798e+01 2.164213521709951182e-02 5.720136259762087150e+01 1.164037858638304612e-01
0.000000000000000000e+00 -4.257362131636852051e+12 2.745060910792916431e+01 3.249440066111766612e+01 9.356762704030379130e-01 7.892968476533579469e+00 1.177443799892090165e-01
0.000000000000000000e+00 -4.084431267727795898e+12 2.509208173717919266e+01 4.132559669958367721e+01 6.596025515131964667e-01 2.331189144635471067e+01 1.206387240480763928e-01
0.000000000000000000e+00 -3.490475845214745117e+12 1.325955711436152207e+01 1.527088663482168940e+01 1.591399090555051243e-02 1.337133816034809008e+01 1.320201746675021270e-01
0.000000000000000000e+00 -3.117656603127161133e+12 5.718758541277241036e+00 1.644557122531742976e+01 6.818967499622801132e-01 3.053205934601866645e+01 1.409655245230112541e-01
0.000000000000000000e+00 -2.970037103661577148e+12 8.804754408839663427e+00 4.527395548286487781e+01 1.331416469766056654e+00 8.818112599892291570e-02 1.449765329099312605e-01
0.000000000000000000e+00 -2.909195126373916992e+12 7.103309647175890973e+00 1.639901845942116054e+01 1.033153877873581372e+00 1.347780387322615958e+01 1.465694595604723760e-01
0.000000000000000000e+00 -2.604323528053702148e+12 1.671406840338714517e+01 1.013319999789776915e+01 9.055266557553678375e-01 3.920301264016594622e+00 1.557166977012199582e-01
0.000000000000000000e+00 -2.355726002727415039e+12 2.406815007482248703e+01 2.952898932307796898e+01 1.484634408743403355e+00 4.026104335878010687e+01 1.646990226632336629e-01
0.000000000000000000e+00 -2.283982503080761719e+12 6.869068158090492204e+00 3.965401729085422744e+01 3.043881507321653523e-01 5.622937932098420788e+01 1.678926216339400035e-01
0.000000000000000000e+00 -2.137993101202389648e+12 2.643364726038139167e+01 3.436768022512583798e+01 9.201616201009277241e-02 5.584215180729914607e+01 1.736567103010496771e-01
0.000000000000000000e+00 -2.097930769759186768e+12 1.635233556249203701e+01 3.079392574429074614e+01 1.204699979393224041e+00 1.385517711398262719e+01 1.758003107325589176e-01
0.000000000000000000e+00 -2.070449538718331055e+12 7.881515268893377169e+00 2.576847819661409744e+01 1.410160917740927999e+00 5.764127916770672044e+01 1.773188166883040429e-01
0.000000000000000000e+00 -1.846376545114870361e+12 1.745303801805708233e+01 1.509703861145550974e+01 1.164845409355492745e+00 5.720997960036040553e+01 1.885737100589606474e-01
0.000000000000000000e+00 -1.770134590754372559e+12 1.128764858812968086e+01 2.949775639253827109e+01 5.420269613939565634e-01 1.741712512804603818e+01 1.931421216929265494e-01
0.000000000000000000e+00 -1.587747120377301270e+12 2.968512189415645963e+01 9.368419123669436743e+00 8.704076763327012189e-02 3.658906008516260044e+01 2.043582623132430276e-01
0.000000000000000000e+00 -1.457287958050888916e+12 1.395879297982026479e+01 3.233641583963676425e+01 9.533650876997943335e-01 1.108611745628614287e+01 2.148473703622372777e-01
0.000000000000000000e+00 -1.395817354105683594e+12 1.537051010067481549e+01 1.197628659240709759e+01 1.233680668772940692e+00 5.139938373087314005e+01 2.198592265909794785e-01
0.000000000000000000e+00 -1.334309918270696777e+12 2.713289771859819410e+01 1.081474822695085969e+01 3.757916555922271584e-01 2.268818634653679922e+01 2.248208639163882250e-01
0.000000000000000000e+00 -1.209502684712334229e+12 2.499609508432781269e+01 5.459087718684774160e+00 5.856028274807740797e-01 1.293353148634546201e-01 2.371763144664376377e-01
0.000000000000000000e+00 -1.096477380952809082e+12 3.570644808469194231e+01 1.917056041362687324e+01 5.621877093917377888e-01 5.122732315013085014e+01 2.498886468526506088e-01
0.000000000000000000e+00 -1.078447436356204712e+12 6.420136543262049855e+00 2.231341805571785386e+01 8.795202315654400138e-01 5.250189437837531337e+00 2.531417711047370123e-01
0.000000000000000000e+00 -1.012182879255364014e+12 1.230510390104299745e+01 2.025577037425654936e+01 1.486811953948640741e-01 2.863623625732035904e+01 2.616364770929949790e-01
0.000000000000000000e+00 -9.736729789781372070e+11 3.890402294612500356e+01 9.285238608103302482e+00 8.573913036230251805e-01 1.736861673872815981e+00 2.662224394063988919e-01
0.000000000000000000e+00 -9.184499324479841309e+11 1.425912721928177973e+01 9.714378962661507799e+00 1.451258745336368339e+00 2.111065091939311245e+01 2.757206048276904520e-01
0.000000000000000000e+00 -9.065290463534520264e+11 3.626836603125208569e+01 3.538735193359301689e+01 8.527114043670893651e-01 5.861250978855512273e+00 2.769399247050091661e-01
0.000000000000000000e+00 -8.432747618484519043e+11 1.630379678024622336e+01 4.753466819487791639e+01 5.145055408631906690e-01 4.996178954871918876e+01 2.887282102129947736e-01
0.000000000000000000e+00 -8.012445399929171143e+11 2.696188915364605521e+01 3.616236307003729422e+01 1.015349246610882883e+00 5.292146457468926002e+01 2.963152902076437445e-01
0.000000000000000000e+00 -6.527886810935554199e+11 3.688199906495900393e+01 4.303669753560979139e+00 2.305057018578767769e-01 4.326213602617655596e+01 3.296209755305821165e-01
0.000000000000000000e+00 -6.482154505842836914e+11 1.402467105599876440e+01 6.318898139961682148e+00 8.423118222154990509e-02 1.431948719062834741e+01 3.317979092402956742e-01
0.000000000000000000e+00 -6.227741428456354980e+11 2.513054187031981002e+01 1.062010941131485353e+01 6.661723955236897865e-03 4.647367048439627979e+01 3.384985544850753203e-01
0.000000000000000000e+00 -5.518610418858553467e+11 3.092905208036938447e+01 3.092353674013091336e+01 1.240079613433713757e+00 5.897097985529840969e+01 3.610821218388626797e-01
