a_v a_s a_c a_sym sigma_sys
3.839727018638586742e+01 4.481566622553746271e+00 3.488250863985608019e-01 1.092295460074562996e+01 8.179559623552941048e+03
3.815827699899396208e+01 1.804033881923395910e+01 1.479630236837734536e+00 3.685919288176271635e+01 7.960940827085377350e+03
2.953218167593443866e+01 2.369467853529634027e+01 4.685567439907700193e-01 1.534453609305773192e+01 7.835198573117625529e+03
3.399740698418858642e+01 1.757931764476927672e+00 3.995481273584719495e-01 5.138696446078061086e+01 7.834223879048178787e+03
3.402407133978513798e+01 5.493772500519137125e+00 9.492730177754813425e-01 2.618816967760866987e+01 7.972073896398326724e+03
3.880063172277789363e+01 5.770433048185475755e+00 2.921245531113154936e-02 5.018228203836939372e+01 8.075820471793331308e+03
3.990911642344345722e+01 1.456140270758268507e+01 2.537920163032622023e-01 8.182111752763180590e+00 8.075891734922842261e+03
3.966064262923150352e+01 2.438590305375267775e+00 2.578030012727726694e-01 1.590600499663844936e+01 8.033839426658934826e+03
3.915925406584636903e+01 5.525807838175245124e-01 6.734437228597232039e-01 2.804780727414123120e+01 8.247673974905699652e+03
3.877009983883468891e+01 4.844492776968797543e+00 1.177762578901361046e+00 5.005680271893636757e+01 8.211419841323830042e+03
3.582245972753669605e+01 1.827109131433081757e+01 8.195200380147078523e-01 1.438552310944135293e+01 8.015132632977554749e+03
3.454040460534632473e+01 2.089255436380286923e+01 6.324809981553538574e-01 3.030267013332448656e+01 7.758345359175991689e+03
3.796872306189113289e+01 3.701192943633873256e+01 1.059332214418991391e+00 3.947363239841480720e+01 7.939113879092858042e+03
3.724727513182767069e+01 1.468528592492551743e+00 2.414318062289107780e-01 2.930988415053788998e+01 7.853671926216832617e+03
3.937568807316642960e+01 6.608707798766280117e-01 6.384559050850944217e-01 1.095894889267969852e+01 8.165747918457829655e+03
